Description,Category,Available Qty,Cost,Whole Sale Price,Price,Alt Price 1,Alt Price 2
THROTTLE CABLE PCX 150,PANTRA,9,,65,150,,
THROTTLE CABLE SNIPER 150,PANTRA,3,,65,150,,
THROTTLE CABLE RFI/CARB 150,PANTRA,2,,65,150,,
THROTTLE CABLE NMAX,PANTRA,4,,65,150,,
THROTTLE CABLE M3,PANTRA,4,,65,150,,
THROTTLE CABLE SPORTY,PANTRA,9,,65,150,,
THROTTLE CABLE HONDA RS,PANTRA,2,,280,450,,
THROTTLE CABLE WAVE 100,PANTRA,13,,65,150,,
THROTTLE CABLE XRM 125,PANTRA,9,,65,150,,
THROTTLE CABLE XRM 110,PANTRA,11,,65,150,,
THROTTLE CABLE WAVE 125,PANTRA,9,,,150,,
THROTTLE CABLE TMX 125,PANTRA,16,,,150,,
 THROTTLE CABLE TMX 155,PANTRA,13,,,150,,
THROTTLE CABLE BARAKO,PANTRA,18,,,150,,
THROTTLE CABLE CLICK 125,PANTRA,2,,,150,,
CLUTCH CABLE RAIDER CARB,PANTRA,0,,,,,
CLUTCH CABLE RAIDER CARB,PANTRA,2,,,150,,
CLUTCH CABLE TMX 155,PANTRA,6,,,150,,
CLUTCH CABLE BARAKO,PANTRA,8,,,150,,
CLUTCH CABLE TMX 125,PANTRA,23,,,150,,
CLUTCH CABLE  ROUSER135,PANTRA,1,,,150,,
SPEED CABLE CT100,PANTRA,2,,,150,,
SPEED CABLE  M3,PANTRA,3,,,150,,
SPEED CABLE  BARAKO 175,PANTRA,2,,,150,,
SPEED CABLE  RUSI 125,PANTRA,1,,,150,,
BRAKE CABLE CLICK 125,PANTRA,1,,,150,,
BRAKE CABLE  BEAT,PANTRA,5,,,150,,
BRAKE CABLE  M3,PANTRA,3,,,150,,
BRAKE CABLE  SKYDRIVE 125,PANTRA,5,,,150,,
BRAKE CABLE  TMX SUPREMO,PANTRA,9,,,150,,
BRAKE CABLE  TMX 155,PANTRA,11,,,150,,
BRAKE CABLE  TMX 125,PANTRA,6,,,150,,
BRAKE CABLE  BARAKO,PANTRA,11,,,150,,
FLASHER ASSY UNIVERSAL,PANTRA,13,,85,250,,
FLASHER ASSY  TMX ALPHA,PANTRA,5,,85,250,,
 HEADLIGHT SOCKET TMX ALPHA,PANTRA,16,,,150,,
BRAKE SWITCH FRONT TMX,PANTRA,20,,30,80,,
SIGNAL AND PARKLIGHT BULB,PANTRA,13,,8,25,,
TMX ALPHA REGULATOR,PANTRA,12,,250,550,,
REGULATOR MIO SPORTY,PANTRA,10,,250,550,,
REGULATOR TMX 155,PANTRA,1,,250,550,,
REGULATOR XRM 110,PANTRA,5,,,,,
XRM 110 XRM 110,PANTRA,1,,250,550,,
REGULATOR SNIPER 155,PANTRA,1,,250,550,,
REGULATOR MIO M3,PANTRA,2,,250,550,,
REGULATOR NMAX,PANTRA,2,,480,750,,
BENDIX ASSY MIO,PANTRA,5,,320,550,,
STARTER RELAY MIO SPORTY,PANTRA,4,,220,550,,
LEFT AND RIGHT  SWITCH ASSY,PANTRA,2,,550,850,,
TOP HEAD GASKET RUBBER,PANTRA,13,,70,150,,
HORN HARNESS ASSY,PANTRA,7,,80,180,,
DOMINO SWITCH,PANTRA,10,,80,180,,
UNIVERSAL CARBORATOR MANIFOLD,PANTRA,10,,110,250,,
RAM AIR NMAX V2,PANTRA,13,,250,750,,
RAM AIR  PCX,PANTRA,5,,250,750,,
RAM AIR  AEROX V1,PANTRA,4,,250,750,,
RAM AIR  CLICK 160,PANTRA,1,,250,750,,
LDX HANDLE GRIP,PANTRA,5,,110,250,,
TRC BRAKE LINE 210 CM,PANTRA,6,,,,,
TRC BRAKE LINE 170 CM,PANTRA,,,,,,
EARL HOSE 36/90,PANTRA,3,,219,380,,
EARL HOSE  22/55,PANTRA,3,,219,380,,
JRP BRAKE KIT  26/90,PANTRA,2,,1550,2200,,
