Description,Category,Available Qty,Cost,Whole Sale Price,Price,Alt Price 1,Alt Price 2,Sold,Number
THROTTLE CABLE PCX 150,PANTRA,9,,65,150,,,,1
THROTTLE CABLE SNIPER 150,PANTRA,3,,65,150,,,,2
THROTTLE CABLE RFI/CARB 150,PANTRA,2,,65,150,,,,3
THROTTLE CABLE NMAX,PANTRA,4,,65,150,,,,4
THROTTLE CABLE M3,PANTRA,4,,65,150,,,,5
THROTTLE CABLE SPORTY,PANTRA,9,,65,150,,,,6
THROTTLE CABLE HONDA RS,PANTRA,2,,280,450,,,,7
THROTTLE CABLE WAVE 100,PANTRA,13,,65,150,,,,8
THROTTLE CABLE XRM 125,PANTRA,9,,65,150,,,,9
THROTTLE CABLE XRM 110,PANTRA,11,,65,150,,,,10
THROTTLE CABLE WAVE 125,PANTRA,9,,,150,,,,11
THROTTLE CABLE TMX 125,PANTRA,16,,,150,,,,12
 THROTTLE CABLE TMX 155,PANTRA,13,,,150,,,,13
THROTTLE CABLE BARAKO,PANTRA,18,,,150,,,,14
THROTTLE CABLE CLICK 125,PANTRA,2,,,150,,,,15
CLUTCH CABLE RAIDER CARB,PANTRA,2,,,150,,,,17
CLUTCH CABLE TMX 155,PANTRA,6,,,150,,,,18
CLUTCH CABLE BARAKO,PANTRA,8,,,150,,,,19
CLUTCH CABLE TMX 125,PANTRA,23,,,150,,,,20
CLUTCH CABLE  ROUSER135,PANTRA,1,,,150,,,,21
SPEED CABLE CT100,PANTRA,2,,,150,,,,22
SPEED CABLE  M3,PANTRA,3,,,150,,,,23
SPEED CABLE  BARAKO 175,PANTRA,2,,,150,,,,24
SPEED CABLE  RUSI 125,PANTRA,1,,,150,,,,25
BRAKE CABLE CLICK 125,PANTRA,1,,,150,,,,26
BRAKE CABLE  BEAT,PANTRA,5,,,150,,,,27
BRAKE CABLE  M3,PANTRA,3,,,150,,,,28
BRAKE CABLE  SKYDRIVE 125,PANTRA,5,,,150,,,,29
BRAKE CABLE  TMX SUPREMO,PANTRA,9,,,150,,,,30
BRAKE CABLE  TMX 155,PANTRA,11,,,150,,,,31
BRAKE CABLE  TMX 125,PANTRA,6,,,150,,,,32
BRAKE CABLE  BARAKO,PANTRA,11,,,150,,,,33
FLASHER ASSY UNIVERSAL,PANTRA,13,,85,250,,,,34
FLASHER ASSY  TMX ALPHA,PANTRA,5,,85,250,,,,35
 HEADLIGHT SOCKET TMX ALPHA,PANTRA,16,,,150,,,,36
BRAKE SWITCH FRONT TMX,PANTRA,20,,30,80,,,,37
SIGNAL AND PARKLIGHT BULB,PANTRA,13,,8,25,,,,38
TMX ALPHA REGULATOR,PANTRA,12,,250,550,,,,39
REGULATOR MIO SPORTY,PANTRA,10,,250,550,,,,40
REGULATOR TMX 155,PANTRA,1,,250,550,,,,41
REGULATOR XRM 110,PANTRA,5,,250,550,,,,42
XRM 110 XRM 110,PANTRA,1,,250,550,,,,43
REGULATOR SNIPER 155,PANTRA,1,,250,550,,,,44
REGULATOR MIO M3,PANTRA,2,,250,550,,,,45
REGULATOR NMAX,PANTRA,2,,480,750,,,,46
BENDIX ASSY MIO,PANTRA,5,,320,550,,,,47
STARTER RELAY MIO SPORTY,PANTRA,4,,220,550,,,,48
LEFT AND RIGHT  SWITCH ASSY,PANTRA,2,,550,850,,,,49
TOP HEAD GASKET RUBBER,PANTRA,13,,70,150,,,,50
HORN HARNESS ASSY,PANTRA,7,,80,180,,,,51
DOMINO SWITCH,PANTRA,10,,80,180,,,,52
UNIVERSAL CARBORATOR MANIFOLD,PANTRA,10,,110,250,,,,53
RAM AIR NMAX V2,PANTRA,13,,250,750,,,,54
RAM AIR  PCX,PANTRA,5,,250,750,,,,55
RAM AIR  AEROX V1,PANTRA,4,,250,750,,,,56
RAM AIR  CLICK 160,PANTRA,1,,250,750,,,,57
LDX HANDLE GRIP,PANTRA,5,,110,250,,,,58
TRC BRAKE LINE 210 CM,PANTRA,6,,,980,,,,59
TRC BRAKE LINE 170 CM,PANTRA,,,,780,,,,60
EARL HOSE 36/90,PANTRA,3,,219,380,,,,61
EARL HOSE  22/55,PANTRA,3,,219,380,,,,62
JRP BRAKE KIT  26/90,PANTRA,2,,1550,2200,,,,63
OVERHAULING GASKET TMX 155,PANTRA,13,,80,180,,,,64
OVERHAULING GASKET  SUPREMO,PANTRA,2,,80,180,,,,65
OVERHAULING GASKET  BARAKO,PANTRA,4,,80,180,,,,66
OVERHAULING GASKET  TMX 125,PANTRA,5,,80,180,,,,67
OVERHAULING GASKET  BAJAJ CT100,PANTRA,3,,80,180,,,,68
OIL SEAL HEAD GASKET WAVE 125,PANTRA,5,,180,350,,,,69
TOP OVERHAULING GASKET BARAKO 175,PANTRA,10,,180,180,,,,70
TOP OVERHAULING GASKET  CG 125,PANTRA,2,,80,150,,,,71
TOP OVERHAULING GASKET TMX 155,PANTRA,3,,80,180,,,,72
 CYLINDER PACKING GY6,PANTRA,5,,80,180,,,,73
